,con300000_bat0.0_pv0.0,con600000_bat0.0_pv0.0,con1000000_bat0.0_pv0.0,con2000000_bat0.0_pv0.0,con3000000_bat0.0_pv0.0,con5000000_bat0.0_pv0.0,con300000_bat0.0001_pv0.0,con600000_bat0.0001_pv0.0,con1000000_bat0.0001_pv0.0,con2000000_bat0.0001_pv0.0,con3000000_bat0.0001_pv0.0,con5000000_bat0.0001_pv0.0,con300000_bat0.0003_pv0.0,con600000_bat0.0003_pv0.0,con1000000_bat0.0003_pv0.0,con2000000_bat0.0003_pv0.0,con3000000_bat0.0003_pv0.0,con5000000_bat0.0003_pv0.0,con300000_bat0.0005_pv0.0,con600000_bat0.0005_pv0.0,con1000000_bat0.0005_pv0.0,con2000000_bat0.0005_pv0.0,con3000000_bat0.0005_pv0.0,con5000000_bat0.0005_pv0.0,con300000_bat0.0007_pv0.0,con600000_bat0.0007_pv0.0,con1000000_bat0.0007_pv0.0,con2000000_bat0.0007_pv0.0,con3000000_bat0.0007_pv0.0,con5000000_bat0.0007_pv0.0,con300000_bat0.0_pv0.15,con600000_bat0.0_pv0.15,con1000000_bat0.0_pv0.15,con2000000_bat0.0_pv0.15,con3000000_bat0.0_pv0.15,con5000000_bat0.0_pv0.15,con300000_bat0.0001_pv0.15,con600000_bat0.0001_pv0.15,con1000000_bat0.0001_pv0.15,con2000000_bat0.0001_pv0.15,con3000000_bat0.0001_pv0.15,con5000000_bat0.0001_pv0.15,con300000_bat0.0003_pv0.15,con600000_bat0.0003_pv0.15,con1000000_bat0.0003_pv0.15,con2000000_bat0.0003_pv0.15,con3000000_bat0.0003_pv0.15,con5000000_bat0.0003_pv0.15,con300000_bat0.0005_pv0.15,con600000_bat0.0005_pv0.15,con1000000_bat0.0005_pv0.15,con2000000_bat0.0005_pv0.15,con3000000_bat0.0005_pv0.15,con5000000_bat0.0005_pv0.15,con300000_bat0.0007_pv0.15,con600000_bat0.0007_pv0.15,con1000000_bat0.0007_pv0.15,con2000000_bat0.0007_pv0.15,con3000000_bat0.0007_pv0.15,con5000000_bat0.0007_pv0.15,con300000_bat0.0_pv0.3,con600000_bat0.0_pv0.3,con1000000_bat0.0_pv0.3,con2000000_bat0.0_pv0.3,con3000000_bat0.0_pv0.3,con5000000_bat0.0_pv0.3,con300000_bat0.0001_pv0.3,con600000_bat0.0001_pv0.3,con1000000_bat0.0001_pv0.3,con2000000_bat0.0001_pv0.3,con3000000_bat0.0001_pv0.3,con5000000_bat0.0001_pv0.3,con300000_bat0.0003_pv0.3,con600000_bat0.0003_pv0.3,con1000000_bat0.0003_pv0.3,con2000000_bat0.0003_pv0.3,con3000000_bat0.0003_pv0.3,con5000000_bat0.0003_pv0.3,con300000_bat0.0005_pv0.3,con600000_bat0.0005_pv0.3,con1000000_bat0.0005_pv0.3,con2000000_bat0.0005_pv0.3,con3000000_bat0.0005_pv0.3,con5000000_bat0.0005_pv0.3,con300000_bat0.0007_pv0.3,con600000_bat0.0007_pv0.3,con1000000_bat0.0007_pv0.3,con2000000_bat0.0007_pv0.3,con3000000_bat0.0007_pv0.3,con5000000_bat0.0007_pv0.3
static_grid_fees,"[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]","[0.11, 0.05]"
grid_fee_max_load_peak,"[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]","[35.0, 201.0]"
metering_fee,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390
start_date,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00
end_date,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00,2024-06-29 23:45:00+00:00
example_start_date,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00
example_end_date,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00,2023-09-02 23:45:00+00:00
do_plots,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
create_input_files,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
solver_max_time_secs,2000,2000,2000,2000,2000,2000,2000,10000,10000,10000,10000,10000,20000,10000,10000,10000,10000,10000,20000,10000,10000,10000,10000,10000,20000,10000,10000,10000,10000,10000,2000,2000,2000,2000,2000,2000,2000,10000,10000,10000,10000,10000,20000,10000,10000,10000,10000,10000,20000,10000,10000,10000,10000,10000,20000,10000,10000,10000,10000,10000,2000,2000,2000,2000,2000,2000,2000,10000,10000,10000,10000,10000,20000,10000,10000,10000,10000,10000,20000,10000,10000,10000,10000,10000,20000,10000,10000,10000,10000,10000
